Window_Scheme,Window_Type,Window_Size,Train_Start_Index,Train_End_Index,Train_Periods,Train_Range_Label,Test_Index,Test_Period,Feature_Scheme,Predictors,N_Predictors,Train_N,Train_Pos,Train_Neg,Test_N,Test_Pos,Test_Neg,Model,Tune_CV_AUC,Train_AUC,Test_AUC,Error,Has_Test_AUC,Run_Status,Feature_Display,Model_Group,Model_Display
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,584,84,500,26,9,17,Ridge,0.7776992711960926,0.7373809523809524,0.9477124183006536,NA,TRUE,OK,All dN,ML/DL,Ridge Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,584,84,500,26,9,17,Lasso,0.8313863769520555,0.7559761904761905,0.43790849673202614,NA,TRUE,OK,All dN,ML/DL,Lasso Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,584,84,500,26,9,17,SVM_Radial,0.7561601315241913,0.8188095238095238,0.9019607843137255,NA,TRUE,OK,All dN,ML/DL,Support Vector Machine (SVC)
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,584,84,500,26,9,17,RandomForest,0.7261687350789583,1,0.9150326797385621,NA,TRUE,OK,All dN,ML/DL,Random Forest (RFC)
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,584,84,500,26,9,17,XGBoost,0.730765203035679,0.9694761904761905,0.869281045751634,NA,TRUE,OK,All dN,ML/DL,XGBoost Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,3_All_dN_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS",8,584,84,500,26,9,17,DNN,0.7711707678997743,0.8294047619047619,0.7450980392156863,NA,TRUE,OK,All dN,ML/DL,Deep Neural Network (DNN)
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,584,84,500,26,9,17,Logistic,NA,0.8175714285714286,0.5947712418300654,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Logistic Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,584,84,500,26,9,17,Ridge,0.79549754145038,0.7110238095238095,0.9869281045751634,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Ridge Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,584,84,500,26,9,17,Lasso,0.812247437413759,0.7577142857142857,0.6732026143790849,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Lasso Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,584,84,500,26,9,17,SVM_Radial,0.7449716773988655,0.9812857142857143,0.9477124183006536,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Support Vector Machine (SVC)
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,584,84,500,26,9,17,RandomForest,0.7093069313029765,1,0.8594771241830066,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Random Forest (RFC)
