"Window_Scheme","Window_Type","Window_Size","Test_Index","Test_Period","Train_Range_Label","Term","Beta","SE","CI95_Low_Beta","CI95_High_Beta","OR","OR_CI95_Low","OR_CI95_High","Error"
"rolling_width_8","rolling",8,10,"Kan17","Fuj02-HK15 -> Kan17","PB1",0.365335847415816,0.1632705813607,0.045325507948843,0.685346186882789,1.44099788230569,1.046368405714,1.98445871021171,NA
"rolling_width_8","rolling",8,10,"Kan17","Fuj02-HK15 -> Kan17","PB2",0.333989223316306,0.142096846192958,0.0554794047781087,0.612499041854504,1.39652809355188,1.05704724672565,1.84503646560827,NA
"rolling_width_8","rolling",8,10,"Kan17","Fuj02-HK15 -> Kan17","NA_seg",0.128101030058571,0.187574359870407,-0.239544715287426,0.495746775404568,1.13666783451413,0.786986082246308,1.6417237803383,NA
"rolling_width_8","rolling",8,10,"Kan17","Fuj02-HK15 -> Kan17","HA:PB1",-0.373088781266353,0.143695402625105,-0.654731770411559,-0.0914457921211463,0.688604094986479,0.519581411005564,0.912610785506086,NA
"rolling_width_8","rolling",8,11,"HK19","Cal04-Kan17 -> HK19","(Intercept)",-0.977504224374952,0.651739938385439,-2.25491450361041,0.299906054860508,0.376248961003652,0.104882510428944,1.34973200085856,NA
"rolling_width_8","rolling",8,11,"HK19","Cal04-Kan17 -> HK19","HA",1.20743534610096,0.196768390823113,0.821769300087657,1.59310139211426,3.34489514432545,2.27452058900305,4.91898098466365,NA
"rolling_width_8","rolling",8,11,"HK19","Cal04-Kan17 -> HK19","PB1",0.152971001369327,0.174297694306492,-0.188652479471397,0.494594482210051,1.16529118660403,0.828074229491004,1.6398331227041,NA
"rolling_width_8","rolling",8,11,"HK19","Cal04-Kan17 -> HK19","PB2",0.246825383748032,0.156816906253808,-0.0605357525094306,0.554186520005495,1.27995559221548,0.941260116005645,1.74052452683956,NA
"rolling_width_8","rolling",8,11,"HK19","Cal04-Kan17 -> HK19","NA_seg",0.4292067260374,0.189929282576561,0.0569453321873397,0.80146811988746,1.53603854073863,1.05859793757989,2.22881068900286,NA
"rolling_width_8","rolling",8,11,"HK19","Cal04-Kan17 -> HK19","HA:PB1",-0.518602770846098,0.190229993666143,-0.891453558431739,-0.145751983260458,0.595351810008954,0.410059274233602,0.864372055341,NA
"rolling_width_8","rolling",8,12,"Cam20","Wis05-HK19 -> Cam20","(Intercept)",-0.828670238999369,0.616722870446682,-2.03744706507487,0.380106587076129,0.436629513352979,0.130361089806061,1.46244045837974,NA
"rolling_width_8","rolling",8,12,"Cam20","Wis05-HK19 -> Cam20","HA",1.39440132449217,0.203676857663497,0.995194683471714,1.79360796551262,4.03255965512895,2.70525095766433,6.01110123484205,NA
"rolling_width_8","rolling",8,12,"Cam20","Wis05-HK19 -> Cam20","PB1",0.133867631489418,0.173881194373674,-0.206939509482983,0.47467477246182,1.14324148045659,0.813068831454035,1.60749131201996,NA
"rolling_width_8","rolling",8,12,"Cam20","Wis05-HK19 -> Cam20","PB2",0.232657334043419,0.151508920292777,-0.0643001497304228,0.529614817817261,1.261948978276,0.937723499831128,1.69827803617872,NA
"rolling_width_8","rolling",8,12,"Cam20","Wis05-HK19 -> Cam20","NA_seg",0.26911007654506,0.181579858776173,-0.0867864466562381,0.625006599746359,1.30879920121175,0.916872875996106,1.86825828742236,NA
"rolling_width_8","rolling",8,12,"Cam20","Wis05-HK19 -> Cam20","HA:PB1",-0.274810028159756,0.161713990375029,-0.591769449294813,0.0421493929752998,0.759716434246096,0.55334729798556,1.04305029149824,NA
"rolling_width_8","rolling",8,13,"Dar21","Bris07-Cam20 -> Dar21","(Intercept)",-0.905189815381964,0.614513245468763,-2.10963577650074,0.299256145736811,0.404465104117914,0.121282132192375,1.34885508270608,NA
"rolling_width_8","rolling",8,13,"Dar21","Bris07-Cam20 -> Dar21","HA",1.33465581607528,0.199052013687375,0.944513869248027,1.72479776290254,3.79868827395335,2.57156295884428,5.61138608449854,NA
"rolling_width_8","rolling",8,13,"Dar21","Bris07-Cam20 -> Dar21","PB1",0.0863053025646043,0.171576101091552,-0.249983855574837,0.422594460704045,1.09013909976749,0.778813356463859,1.52591535183439,NA
"rolling_width_8","rolling",8,13,"Dar21","Bris07-Cam20 -> Dar21","PB2",0.265611209979932,0.152815167272681,-0.0339065178745221,0.565128937834387,1.30422788931486,0.966661866019708,1.75967465673464,NA
"rolling_width_8","rolling",8,13,"Dar21","Bris07-Cam20 -> Dar21","NA_seg",0.395537797057458,0.174208061436687,0.0540899966415503,0.736985597473365,1.48518270307042,1.055579596499,2.08962703411031,NA
"rolling_width_8","rolling",8,13,"Dar21","Bris07-Cam20 -> Dar21","HA:PB1",-0.27245400553515,0.158589005737458,-0.583288456780568,0.0383804457102674,0.761508453543535,0.558060189025634,1.03912648890213,NA
"rolling_width_8","rolling",8,14,"TH22","Prth09-Dar21 -> TH22","(Intercept)",-0.855119149695015,0.614835346214964,-2.06019642827634,0.349958128886315,0.42523252173844,0.127428936789886,1.41900813189853,NA
"rolling_width_8","rolling",8,14,"TH22","Prth09-Dar21 -> TH22","HA",1.38793030838303,0.198426809141505,0.999013762465675,1.77684685430038,4.00654914461951,2.71560227844454,5.91118816465495,NA
"rolling_width_8","rolling",8,14,"TH22","Prth09-Dar21 -> TH22","PB1",-0.372604183673175,0.177385350487984,-0.720279470629624,-0.0249288967167261,0.688937871740736,0.486616242007365,0.975379262230772,NA
"rolling_width_8","rolling",8,14,"TH22","Prth09-Dar21 -> TH22","PB2",0.284124182915611,0.155454437035779,-0.0205665136745153,0.588814879505738,1.3285979096709,0.979643534616262,1.80185173811546,NA
"rolling_width_8","rolling",8,14,"TH22","Prth09-Dar21 -> TH22","NA_seg",0.34258196296258,0.168879234014676,0.0115786642938149,0.673585261631345,1.40857980030445,1.01164595649437,1.96125634772581,NA
"rolling_width_8","rolling",8,14,"TH22","Prth09-Dar21 -> TH22","HA:PB1",-0.0775702781609792,0.169801633012494,-0.410381478865468,0.255240922543509,0.92536198937254,0.663397129874915,1.29077255962347,NA
"rolling_width_9","rolling",9,10,"Kan17","Mos99-HK15 -> Kan17","(Intercept)",-0.59084992559351,0.593870840838579,-1.75483677363712,0.573136922450104,0.553856347946994,0.172935467615486,1.77382267727312,NA
"rolling_width_9","rolling",9,10,"Kan17","Mos99-HK15 -> Kan17","HA",1.62641064304289,0.216108647141471,1.20283769464561,2.04998359144018,5.08558792884857,3.32955178104326,7.76777364728248,NA
"rolling_width_9","rolling",9,10,"Kan17","Mos99-HK15 -> Kan17","PB1",0.178128954853914,0.159603185935448,-0.134693289579563,0.490951199287392,1.19497940969457,0.87398393056264,1.63386961665839,NA
